column_label,STNAME,AGENCY,POP,GROUP,total_arrests_race_data,total_White_arrests,total_African_American_arrests,total_violent_arrests,total_marijuana_possession_arrests_race_data,total_White_marijuana_possession_arrests,total_African_American_marijuana_possession_arrests,total_marijuana_possession_and_sale_arrests_race_data,total_White_marijuana_possession_and_sale_arrests,total_African_American_marijuana_possession_and_sale_arrests,total_non_violent_non_drug_misdemeanor_arrests_race_data,total_White_non_drug_misdemeanor_arrests,total_African_American_non_drug_misdemeanor_arrests
UCR_2015,ALASKA,ANCHORAGE,301239,1C,15333,7508,2184,4624,119,67,23,128,72,24,914,368,112
UCR_2015,ARIZ,MESA,471034,1C,31014,24760,3745,6924,1210,937,204,1261,980,211,3549,2600,428
UCR_2015,ARIZ,PHOENIX,1559744,1A,60629,45276,10738,18317,1393,1047,283,1654,1241,345,5163,3615,853
UCR_2015,ARIZ,TUCSON,529675,1B,40494,32691,5193,10669,1905,1563,276,1929,1584,279,4964,3785,653
UCR_2015,CALIF,ANAHEIM,349471,1C,12313,11043,848,2842,15,14,0,43,40,2,696,640,42
UCR_2015,CALIF,BAKERSFIELD,373887,1C,30743,24310,6124,5798,31,27,4,65,49,16,2705,2140,547
UCR_2015,CALIF,FRESNO,520837,1B,29717,22746,5589,7556,165,132,23,287,196,35,1600,1224,306
UCR_2015,CALIF,LONG BEACH,476318,1C,19387,12802,6254,3939,49,33,13,169,104,61,2299,1587,681
UCR_2015,CALIF,LOS ANGELES,3962726,1A,90474,62240,27762,23388,175,132,43,1059,715,342,6622,4953,1532
UCR_2015,CALIF,OAKLAND,419481,1C,13863,3968,9134,4160,23,7,16,262,45,200,861,294,529
UCR_2015,CALIF,RIVERSIDE,323064,1C,11303,9359,1848,2711,17,15,2,40,33,6,463,385,76
UCR_2015,CALIF,SACRAMENTO,489717,1C,26112,14446,10281,5863,77,40,36,297,107,138,1868,1248,530
UCR_2015,CALIF,SAN DIEGO,1400467,1A,47185,33512,11305,9436,103,84,9,228,168,40,4040,3250,590
UCR_2015,CALIF,SAN FRANCISCO,863782,1B,18918,10296,7615,5376,16,8,8,153,64,84,1663,1113,442
